mysql: [Warning] Using a password on the command line interface can be insecure.
id	kode	nama_produk	qty_stok_salah
6784	8999999533724	CITRA SABUN LULUR PEARLY WHITE 70GR	2
14831	8997024499564	HONOR EDP ELITE GLORY 50ML	2
6868	8993560025021	DETTOL FRESH 105GR	2
6856	8993560025106	DETTOL RE-ENERGIZE 110GR	2
2269	8998009050053	ULTRA JAYA SARI KACANG IJO 250 ML	2
7386	8993137697002	WARDAH PERFECT SMOOTING FF 100ML	2
14960	8998866200912	SUKSESS MIE ISI 2 KARI AYAM 116GR	2
5166	8998866613262	SUKSESS MIE ISI 2 RS SOTO 111GR	2
15220	8992752000211	MIZONE COCO BOOST 500ML	2
15303	089686017199	SARIMI RASA KALDU AYAM 70GR	2
15082	KJKR	KONSINYASI JAMUR KRISPI RAHMA 250GR	2
14996	8999999607159	SUNLIGHT KRIM SERBAGUNA 175GR	2
10529	8993189270307	CHARM BF EXTRA MAXI NON WING 20	2
7802	8999999003098	VASELINE ALOE SOOTHE 200ML	2
14886	8992696527706	CARNATION SKM PUTIH 38G	2
15331	8996001305041	ROMA SANDWICH CHOCOLATE 157GR	2
10585	8993189270024	CHARM BF NIGHT WING 29CM 18'S	2
15245	8999777004255	NIVEA DEO ROLL ON DRY COMFORT NON ALCOHOL 25ML	2
14959	8998866200882	SUKSESS MIE ISI 2 AYAM KREMEES 133GR	2
14957	8998866203555	SUKSESS MIE ISI 2 RENDANG 132GR	2
15474	8999999037765	PEPSODENT PG MERAH 225GR	2
2237	8992761166038	PULPY ORANGE 300 ML	1
13174	8992775003671	TUDUNG BMB NASI KUNING 55GR	1
13318	KTDRR	KONSINYASI TEMPE DUA RAJA RAHMA	1
13455	8993027164119	KONSINYASI HAPPYTOS RS PEDAS 140GR	1
5601	4800361028165	NESTLE HONEY STARS 300GR	1
12998	8993163502059	TISU MONTIS 200'S	1
11248	8886020035411	BAGUS TOILET BALL 4'S 5411	1
5296	8992936115021	TONG TJI TEH CELUP MELATI 25	1
6829	8993560024239	DETTOL BANDED SKINCARE 4+1 65GR	1
5154	8998866202343	SEDAAP KOREAN SPICY CHICKEN 87G	1
12972	8992727007948	BIORE MENS BRIGHT OIL CLEAR 100GR	1
10205	8994064112514	DODO COTTON BUDS 50PCS 152	1
13555	8993004788758	CORNTOZ JAGUNG BAKAR 75GR	1
4546	8719200170995	BLUE BAND SERBAGUNA SACHET 200GR	1
4456	8992933423112	AGARASA MELON 10 GR	1
4954	8991001121370	SILVER QUEEN DARK CHO 68gr	1
5625	8992946121029	TROPICAL 2 LITER	1
2526	8998009040313	TEH KOTAK LEMON 100ML	1
8804	8992727005524	BIORE MENS FF DOUBLE SC ANTI BACTERI 100GR	1
4132	8993226125003	REFINA GARAM MEJA 500 GR	1
7789	8999908273000	MARINA NATURAL PROTECTS & CARES 350ML	1
6688	8992946512285	SHINZU'I KIREI 90GR	1
13680	8999999579616	PEPSODENT HERBAL 120G	1
10203	8994064111135	DODO COTTON BUDS 100PCS 146	1
2755	8998888110114	MARJAN BDN CCOPDN 600 ML	1
4514	8992786300271	PONDAN PUDDING FLAN COKELAT 100GR	1
283	RUR	KONSINYASI RENGGINANG UDANG RAHMAH	1
5182	8992388121090	MIE ABC BASO SAPI 60 GR	1
1845	8993175537346	RICHOCO NABATI WAFER COKLAT 122G	1
13599	089686598186	CHITATO AYAM BBQ 68G	1
13085	8993188111120	OBAT NYAMUK BAKAR KING KONG 5'S	1
7995	9556019242074	SENSODYNE SG MULTI ACT SOFT 2'S	1
13751	8993053121407	PASEO SMART EDISI MINION 250'S	1
10490	8851818936812	RELAX NIGHT 30CM WING 16 P	1
11672	8999999571535	MOLTO PEWANGI PINK 820ML	1
8238	8992222051415	GATSBY SPLASH GREAT 175 ML	1
11503	8999999556433	RINSO MATIC 1,8L	1
2499	8992761166205	FRESTEA HONEY 350ML	1
4392	8992933462111	NUTRIJELL PUDING SUSU COKLAT 145 GR	1
13534	089686590005	CHIKI BALLS KALDU AYAM 55G	1
2545	9556001054005	NESCAFE MOCHA 240 ML	1
2318	8992761164546	NUTRIBOOST STRAWBERRY 300 ML	1
3648	8995108509567	REBO KWACI MILK FLAVOUR 70GR	1
1216	8993039112504	REGAL BISKUIT MARIE 250 G	1
13005	8997916248843	MINYAK TAWON DD 30ML	1
3183	8996196000905	PIATOS RS BARBEQUE 85gr	1
10016	8993176721980	MKP LANG PLUS 8JAM 120ML	1
10579	8993189320279	CHARM BF NIGHT WING 35CM 5P	1
11671	8999999571610	MOLTO PEWANGI UNGU 820ML	1
11285	8995027903965	BARUS NAPH TOILET BALL BRN 396	1
8037	8998866100168	CIPTADENT COOL MINT 190 GR	1
2979	711844330016	ABC SARDINES SAUS TOMAT 425 GR	1
